,MED2
246,b'15005'
247,b'-9'
248,b'-9'
249,b'-9'
250,b'41315'
251,b'-9'
252,b'-9'
253,b'-9'
254,b'09370'
255,b'-9'
256,b'25220'
257,b'-9'
258,b'19650'
259,b'93220'
260,b'-9'
261,b'24975'
262,b'93220'
263,b'-9'
264,b'-9'
265,b'-9'
266,b'28495'
267,b'-9'
268,b'09722'
269,b'-9'
270,b'92141'
271,b'11540'
272,b'-9'
273,b'93352'
274,b'-9'
275,b'16940'
276,b'-9'
277,b'-9'
278,b'20290'
279,b'-9'
280,b'-9'
281,b'-9'
282,b'99133'
283,b'00283'
284,b'-9'
285,b'24015'
286,b'93394'
287,b'93220'
288,b'-9'
289,b'-9'
290,b'-9'
291,b'-9'
292,b'25220'
293,b'00260'
294,b'-9'
295,b'-9'
296,b'-9'
297,b'00260'
298,b'24890'
299,b'00283'
300,b'-9'
301,b'92141'
302,b'-9'
303,b'-9'
304,b'-9'
305,b'17715'
306,b'93220'
307,b'93220'
308,b'-9'
309,b'-9'
310,b'-9'
311,b'-9'
312,b'17715'
313,b'-9'
314,b'-9'
315,b'-9'
316,b'34270'
317,b'-9'
318,b'-9'
319,b'-9'
320,b'08836'
321,b'-9'
322,b'-9'
323,b'-9'
324,b'32905'
325,b'-9'
326,b'-9'
327,b'-9'
328,b'15680'
329,b'-9'
330,b'-9'
331,b'-9'
332,b'-9'
333,b'-9'
334,b'30395'
335,b'-9'
336,b'-9'
337,b'-9'
338,b'-9'
339,b'14240'
340,b'95072'
341,b'10028'
342,b'-9'
343,b'-9'
344,b'-9'
345,b'-9'
346,b'16475'
347,b'97002'
348,b'-9'
349,b'-9'
350,b'94070'
351,b'-9'
352,b'-9'
353,b'-9'
354,b'-9'
355,b'-9'
356,b'17715'
357,b'-9'
358,b'93396'
359,b'-9'
360,b'19650'
361,b'93156'
362,b'-9'
363,b'-9'
364,b'-9'
365,b'09722'
366,b'60800'
367,b'-9'
368,b'97073'
369,b'-9'
370,b'60790'
371,b'93248'
372,b'29250'
373,b'99074'
374,b'-9'
375,b'-9'
376,b'-9'
377,b'-9'
378,b'92149'
379,b'04011'
380,b'-9'
381,b'04014'
382,b'02018'
383,b'-9'
384,b'24653'
385,b'-9'
386,b'-9'
387,b'-9'
388,b'97017'
389,b'96123'
390,b'16475'
391,b'03905'
392,b'-9'
393,b'08770'
394,b'12046'
395,b'35060'
396,b'32905'
397,b'19650'
398,b'35060'
399,b'29645'
400,b'25810'
401,b'-9'
402,b'-9'
403,b'92161'
404,b'00645'
405,b'-9'
406,b'33580'
407,b'-9'
408,b'-9'
409,b'02805'
410,b'-9'
411,b'-9'
412,b'-9'
413,b'17495'
414,b'-9'
415,b'-9'
416,b'-9'
417,b'32905'
418,b'-9'
419,b'92105'
420,b'15395'
421,b'32905'
422,b'92180'
423,b'-9'
424,b'19650'
425,b'92105'
426,b'-9'
427,b'19675'
428,b'-9'
429,b'16475'
430,b'-9'
431,b'-9'
432,b'-9'
433,b'-9'
434,b'06905'
435,b'19650'
436,b'-9'
437,b'92105'
438,b'93090'
439,b'16475'
440,b'27368'
441,b'92105'
442,b'28495'
443,b'-9'
444,b'-9'
445,b'99133'
446,b'32905'
447,b'00036'
448,b'-9'
449,b'15395'
450,b'32905'
451,b'03905'
452,b'61570'
453,b'28495'
454,b'-9'
455,b'32905'
456,b'15395'
457,b'-9'
458,b'-9'
459,b'-9'
460,b'89039'
461,b'32905'
462,b'92188'
463,b'06905'
464,b'92105'
465,b'19675'
466,b'92105'
467,b'92105'
468,b'35060'
469,b'-9'
470,b'19675'
471,b'19675'
472,b'92105'
473,b'-9'
474,b'-9'
475,b'19650'
476,b'19650'
477,b'02333'
478,b'-9'
479,b'-9'
480,b'-9'
481,b'-9'
482,b'15395'
483,b'03905'
484,b'-9'
485,b'-9'
486,b'93116'
487,b'-9'
488,b'-9'
489,b'16710'
490,b'35060'
491,b'-9'
492,b'-9'
493,b'-9'
494,b'-9'
495,b'-9'
496,b'-9'
497,b'32905'
498,b'-9'
499,b'-9'
500,b'00036'
501,b'32905'
502,b'32905'
503,b'-9'
504,b'61295'
505,b'03430'
506,b'-9'
507,b'-9'
508,b'92105'
509,b'19650'
510,b'32905'
511,b'-9'
512,b'-9'
513,b'95149'
514,b'-9'
515,b'-9'
516,b'03410'
517,b'-9'
518,b'97045'
519,b'-9'
520,b'-9'
521,b'-9'
522,b'-9'
523,b'93179'
524,b'-9'
525,b'-9'
526,b'-9'
527,b'-9'
528,b'01055'
529,b'-9'
530,b'-9'
531,b'20310'
532,b'00036'
533,b'92105'
534,b'40540'
535,b'89039'
536,b'-9'
537,b'-9'
538,b'-9'
539,b'02900'
540,b'-9'
541,b'03430'
542,b'00338'
543,b'93214'
544,b'08585'
545,b'-9'
546,b'-9'
547,b'-9'
548,b'-9'
549,b'61385'
550,b'93090'
551,b'-9'
552,b'-9'
553,b'-9'
554,b'-9'
555,b'-9'
556,b'-9'
557,b'99133'
558,b'-9'
559,b'28495'
560,b'-9'
561,b'32905'
562,b'-9'
563,b'-9'
564,b'09614'
565,b'93193'
566,b'94158'
567,b'02900'
568,b'-9'
569,b'-9'
570,b'-9'
571,b'93215'
572,b'-9'
573,b'00002'
574,b'-9'
575,b'-9'
576,b'-9'
577,b'-9'
578,b'-9'
579,b'08066'
580,b'-9'
581,b'09850'
582,b'08066'
583,b'-9'
584,b'26255'
585,b'-9'
586,b'-9'
587,b'97168'
588,b'-9'
589,b'-9'
590,b'-9'
591,b'-9'
592,b'25638'
593,b'-9'
594,b'92161'
595,b'12046'
596,b'-9'
597,b'19675'
598,b'08585'
599,b'19675'
600,b'-9'
601,b'-9'
602,b'-9'
603,b'-9'
604,b'03905'
605,b'99133'
606,b'-9'
607,b'18930'
608,b'-9'
609,b'98115'
610,b'99133'
611,b'-9'
612,b'28495'
613,b'30880'
614,b'-9'
615,b'-9'
616,b'-9'
617,b'00260'
618,b'33092'
619,b'01865'
620,b'-9'
621,b'99133'
622,b'-9'
623,b'99123'
624,b'32905'
625,b'99133'
626,b'15395'
627,b'92161'
628,b'42800'
629,b'01055'
630,b'-9'
631,b'-9'
632,b'-9'
633,b'25330'
634,b'02900'
635,b'-9'
636,b'14040'
637,b'91084'
638,b'28495'
639,b'28495'
640,b'92161'
641,b'-9'
642,b'19675'
643,b'19675'
644,b'-9'
645,b'-9'
646,b'-9'
647,b'-9'
648,b'00009'
649,b'-9'
650,b'-9'
651,b'-9'
652,b'-9'
653,b'24975'
654,b'99123'
655,b'-9'
656,b'00260'
657,b'32905'
658,b'-9'
659,b'-9'
660,b'-9'
661,b'-9'
662,b'-9'
663,b'06138'
664,b'15395'
665,b'03905'
666,b'-9'
667,b'33555'
668,b'-9'
669,b'-9'
670,b'32905'
671,b'-9'
672,b'15395'
673,b'24555'
674,b'32905'
675,b'09600'
676,b'-9'
677,b'08770'
678,b'-9'
679,b'-9'
680,b'61160'
681,b'-9'
682,b'-9'
683,b'-9'
684,b'-9'
685,b'12046'
686,b'-9'
687,b'-9'
688,b'-9'
689,b'-9'
690,b'-9'
691,b'-9'
692,b'-9'
693,b'-9'
694,b'-9'
695,b'-9'
696,b'-9'
697,b'-9'
698,b'32905'
699,b'15395'
700,b'92105'
701,b'32905'
702,b'15395'
703,b'15395'
704,b'-9'
705,b'92031'
706,b'-9'
707,b'29705'
708,b'32905'
709,b'15395'
710,b'-9'
711,b'61160'
712,b'33555'
713,b'-9'
714,b'-9'
715,b'-9'
716,b'26255'
717,b'-9'
718,b'07144'
719,b'12585'
720,b'20080'
721,b'12635'
722,b'-9'
723,b'18125'
724,b'01640'
725,b'17485'
726,b'15395'
727,b'-9'
728,b'02333'
729,b'09600'
730,b'30880'
731,b'95050'
732,b'08836'
733,b'92161'
734,b'35060'
735,b'-9'
736,b'93224'
737,b'-9'
738,b'15395'
739,b'-9'
740,b'06839'
741,b'-9'
742,b'97020'
743,b'06138'
744,b'61160'
745,b'-9'
746,b'00004'
747,b'-9'
748,b'-9'
749,b'-9'
750,b'28495'
751,b'92105'
752,b'00341'
753,b'12046'
754,b'14770'
755,b'-9'
756,b'26255'
757,b'92161'
758,b'-9'
759,b'-9'
760,b'28495'
761,b'15395'
762,b'-9'
763,b'61160'
764,b'-9'
765,b'-9'
766,b'09600'
767,b'97132'
768,b'00004'
769,b'32905'
770,b'-9'
771,b'02940'
772,b'02875'
773,b'94158'
774,b'-9'
775,b'-9'
776,b'-9'
777,b'03905'
778,b'19650'
779,b'-9'
780,b'06129'
781,b'22315'
782,b'31997'
783,b'09075'
784,b'-9'
785,b'91061'
786,b'-9'
787,b'12635'
788,b'93396'
789,b'-9'
790,b'24890'
791,b'91066'
792,b'21160'
793,b'98109'
794,b'92105'
795,b'98086'
796,b'89039'
797,b'89039'
798,b'07470'
799,b'-9'
800,b'28495'
801,b'28495'
802,b'07003'
803,b'92141'
804,b'03081'
805,b'12715'
806,b'-9'
807,b'28495'
808,b'-9'
809,b'08066'
810,b'-9'
811,b'-9'
812,b'92141'
813,b'06920'
814,b'32438'
815,b'99133'
816,b'93400'
817,b'89039'
818,b'-9'
819,b'91069'
820,b'28495'
821,b'-9'
822,b'-9'
823,b'92141'
824,b'28495'
825,b'21160'
826,b'-9'
827,b'-9'
828,b'99133'
829,b'91079'
830,b'05418'
831,b'89039'
832,b'15395'
833,b'-9'
834,b'12046'
835,b'28495'
836,b'91062'
837,b'15005'
838,b'19650'
839,b'19650'
840,b'28495'
841,b'08066'
842,b'15395'
843,b'33588'
844,b'-9'
845,b'17495'
846,b'12028'
847,b'-9'
848,b'-9'
849,b'-9'
850,b'17888'
851,b'91069'
852,b'-9'
853,b'96024'
854,b'15005'
855,b'-9'
856,b'91069'
857,b'15395'
858,b'92161'
859,b'17888'
860,b'-9'
861,b'-9'
862,b'-9'
863,b'19675'
864,b'-9'
865,b'-9'
866,b'41780'
867,b'-9'
868,b'-9'
869,b'-9'
870,b'03905'
871,b'-9'
872,b'-9'
873,b'12046'
874,b'-9'
875,b'93193'
876,b'92161'
877,b'-9'
878,b'-9'
879,b'32905'
880,b'22305'
881,b'03410'
882,b'20290'
883,b'15395'
884,b'-9'
885,b'93352'
886,b'09149'
887,b'28495'
888,b'-9'
889,b'07282'
890,b'14000'
891,b'09175'
892,b'-9'
893,b'-9'
894,b'-9'
895,b'32920'
896,b'99123'
897,b'17485'
898,b'28495'
899,b'-9'
900,b'-9'
901,b'-9'
902,b'97126'
903,b'08585'
904,b'97163'
905,b'92161'
906,b'27985'
907,b'-9'
908,b'42800'
909,b'19675'
910,b'-9'
911,b'-9'
912,b'92141'
913,b'-9'
914,b'19675'
915,b'28495'
916,b'16475'
917,b'92105'
918,b'-9'
919,b'-9'
920,b'-9'
921,b'17495'
922,b'-9'
923,b'-9'
924,b'26785'
925,b'-9'
926,b'42800'
927,b'-9'
928,b'24890'
929,b'93187'
930,b'08202'
931,b'22305'
932,b'06125'
933,b'20290'
934,b'-9'
935,b'-9'
936,b'19675'
937,b'-9'
938,b'01630'
939,b'91089'
940,b'-9'
941,b'-9'
942,b'00260'
943,b'00169'
944,b'-9'
945,b'-9'
946,b'-9'
947,b'-9'
948,b'00169'
949,b'-9'
950,b'-9'
951,b'92161'
952,b'-9'
953,b'-9'
954,b'-9'
955,b'-9'
956,b'-9'
957,b'22305'
958,b'-9'
959,b'15395'
960,b'-9'
961,b'-9'
962,b'-9'
963,b'-9'
964,b'00169'
965,b'92105'
966,b'-9'
967,b'19233'
968,b'-9'
969,b'-9'
970,b'-9'
971,b'28495'
972,b'32920'
973,b'12046'
974,b'41780'
975,b'-9'
976,b'19635'
977,b'61160'
978,b'04120'
979,b'-9'
980,b'-9'
981,b'-9'
982,b'-9'
983,b'-9'
984,b'-9'
985,b'93352'
986,b'28495'
987,b'93179'
988,b'-9'
989,b'-9'
990,b'92004'
991,b'-9'
992,b'-9'
993,b'11665'
994,b'-9'
995,b'-9'
996,b'28495'
997,b'-9'
998,b'92141'
999,b'-9'
1000,b'60115'
1001,b'24890'
1002,b'93187'
1003,b'-9'
1004,b'-9'
1005,b'-9'
1006,b'92105'
1007,b'28495'
1008,b'24890'
1009,b'91000'
1010,b'00004'
1011,b'12046'
1012,b'01017'
1013,b'-9'
1014,b'-9'
1015,b'09075'
1016,b'-9'
1017,b'-9'
1018,b'61160'
1019,b'92105'
1020,b'12046'
1021,b'03438'
1022,b'92105'
1023,b'-9'
1024,b'12046'
1025,b'34725'
1026,b'22305'
1027,b'-9'
1028,b'15395'
1029,b'-9'
1030,b'12046'
1031,b'-9'
1032,b'12620'
1033,b'-9'
1034,b'07470'
1035,b'12046'
1036,b'09600'
1037,b'28495'
1038,b'-9'
1039,b'-9'
1040,b'12046'
1041,b'92105'
1042,b'34110'
1043,b'28495'
1044,b'18640'
1045,b'-9'
1046,b'28495'
1047,b'-9'
1048,b'21160'
1049,b'-9'
1050,b'-9'
1051,b'92105'
1052,b'-9'
1053,b'-9'
1054,b'12046'
1055,b'13215'
1056,b'92161'
1057,b'-9'
1058,b'12635'
1059,b'-9'
1060,b'01838'
1061,b'93203'
1062,b'99080'
1063,b'12046'
1064,b'01640'
1065,b'32905'
1066,b'-9'
1067,b'20285'
1068,b'-9'
1069,b'31005'
1070,b'42800'
1071,b'28495'
1072,b'12046'
1073,b'00042'
1074,b'18640'
1075,b'92141'
1076,b'-9'
1077,b'19675'
1078,b'96041'
1079,b'32905'
1080,b'24890'
1081,b'23228'
1082,b'-9'
1083,b'12635'
1084,b'33555'
1085,b'-9'
1086,b'29705'
1087,b'-9'
1088,b'32905'
1089,b'89039'
1090,b'30880'
1091,b'32905'
1092,b'-9'
1093,b'-9'
1094,b'-9'
1095,b'92105'
1096,b'12028'
1097,b'14965'
1098,b'03430'
1099,b'29705'
1100,b'-9'
1101,b'12585'
1102,b'20285'
1103,b'03430'
1104,b'-9'
1105,b'-9'
1106,b'-9'
1107,b'01630'
1108,b'-9'
1109,b'19675'
1110,b'15395'
1111,b'-9'
1112,b'-9'
1113,b'-9'
1114,b'-9'
1115,b'-9'
1116,b'-9'
1117,b'22315'
1118,b'-9'
1119,b'-9'
1120,b'96041'
1121,b'12635'
1122,b'00597'
1123,b'22305'
1124,b'19675'
1125,b'-9'
1126,b'12635'
1127,b'-9'
1128,b'29705'
1129,b'-9'
1130,b'-9'
1131,b'-9'
1132,b'-9'
1133,b'24890'
1134,b'-9'
1135,b'-9'
1136,b'-9'
1137,b'-9'
1138,b'14965'
1139,b'-9'
1140,b'-9'
1141,b'03905'
1142,b'-9'
1143,b'-9'
1144,b'22315'
1145,b'-9'
1146,b'19675'
1147,b'92105'
1148,b'-9'
1149,b'96095'
1150,b'03272'
1151,b'-9'
1152,b'17370'
1153,b'98036'
1154,b'03430'
1155,b'99123'
1156,b'00260'
1157,b'92105'
1158,b'16475'
1159,b'92105'
1160,b'-9'
1161,b'94188'
1162,b'20290'
1163,b'-9'
1164,b'13118'
1165,b'-9'
1166,b'00169'
1167,b'24890'
1168,b'-9'
1169,b'17485'
1170,b'94188'
1171,b'92105'
1172,b'12046'
1173,b'-9'
1174,b'99080'
1175,b'-9'
1176,b'-9'
1177,b'06839'
1178,b'26785'
1179,b'32905'
1180,b'96041'
1181,b'95092'
1182,b'20290'
1183,b'96022'
1184,b'-9'
1185,b'98036'
1186,b'19840'
1187,b'19840'
1188,b'25638'
1189,b'-9'
1190,b'92105'
1191,b'15395'
1192,b'-9'
1193,b'01022'
1194,b'12635'
1195,b'00260'
1196,b'32905'
1197,b'-9'
1198,b'19675'
1199,b'12046'
1200,b'-9'
1201,b'91084'
1202,b'-9'
1203,b'-9'
1204,b'92105'
1205,b'92105'
1206,b'-9'
1207,b'03250'
1208,b'17165'
1209,b'-9'
1210,b'97126'
1211,b'99123'
1212,b'14930'
1213,b'91096'
1214,b'-9'
1215,b'98036'
1216,b'92105'
1217,b'92161'
1218,b'98036'
1219,b'-9'
1220,b'-9'
1221,b'-9'
1222,b'-9'
1223,b'-9'
1224,b'-9'
1225,b'-9'
1226,b'94114'
1227,b'-9'
1228,b'-9'
1229,b'-9'
1230,b'14965'
1231,b'-9'
1232,b'14930'
1233,b'-9'
1234,b'-9'
1235,b'-9'
1236,b'-9'
1237,b'-9'
1238,b'-9'
1239,b'-9'
1240,b'-9'
1241,b'-9'
1242,b'-9'
1243,b'-9'
1244,b'-9'
1245,b'-9'
1246,b'-9'
1247,b'-9'
1248,b'-9'
1249,b'-9'
1250,b'-9'
1251,b'-9'
1252,b'-9'
1253,b'-9'
1254,b'-9'
1255,b'-9'
1256,b'-9'
1257,b'93211'
1258,b'00084'
1259,b'-9'
1260,b'-9'
1261,b'-9'
1262,b'-9'
1263,b'-9'
1264,b'-9'
1265,b'-9'
1266,b'19650'
1267,b'-9'
1268,b'-9'
1269,b'-9'
1270,b'-9'
1271,b'-9'
1272,b'-9'
1273,b'-9'
1274,b'-9'
1275,b'-9'
1276,b'-9'
1277,b'-9'
1278,b'-9'
1279,b'-9'
1280,b'-9'
1281,b'26255'
1282,b'-9'
1283,b'-9'
1284,b'-9'
1285,b'12034'
1286,b'-9'
1287,b'-9'
1288,b'-9'
1289,b'-9'
1290,b'-9'
1291,b'-9'
1292,b'-9'
1293,b'-9'
1294,b'-9'
1295,b'-9'
1296,b'-9'
1297,b'-9'
1298,b'-9'
1299,b'-9'
1300,b'02900'
1301,b'-9'
1302,b'32905'
1303,b'-9'
1304,b'-9'
1305,b'98036'
1306,b'-9'
1307,b'-9'
1308,b'-9'
1309,b'-9'
1310,b'-9'
1311,b'92105'
1312,b'-9'
1313,b'-9'
1314,b'-9'
1315,b'19650'
1316,b'-9'
1317,b'-9'
1318,b'-9'
1319,b'-9'
1320,b'-9'
1321,b'-9'
1322,b'-9'
1323,b'-9'
1324,b'-9'
1325,b'-9'
1326,b'-9'
1327,b'-9'
1328,b'-9'
1329,b'-9'
1330,b'-9'
1331,b'33588'
1332,b'-9'
1333,b'97157'
1334,b'19840'
1335,b'-9'
1336,b'22315'
1337,b'15395'
1338,b'-9'
1339,b'-9'
1340,b'-9'
1341,b'05995'
1342,b'02042'
1343,b'-9'
1344,b'92105'
1345,b'10192'
1346,b'32905'
1347,b'03081'
1348,b'33588'
1349,b'92141'
1350,b'92105'
1351,b'-9'
1352,b'09850'
1353,b'19650'
1354,b'33588'
1355,b'02805'
1356,b'15395'
1357,b'42800'
1358,b'-9'
1359,b'11575'
1360,b'10087'
1361,b'-9'
1362,b'99042'
1363,b'19650'
1364,b'-9'
1365,b'-9'
1366,b'-9'
1367,b'-9'
1368,b'-9'
1369,b'-9'
1370,b'-9'
1371,b'42800'
1372,b'12585'
1373,b'96107'
1374,b'-9'
1375,b'-9'
1376,b'-9'
1377,b'09572'
1378,b'15395'
1379,b'-9'
1380,b'21160'
1381,b'15395'
1382,b'97168'
1383,b'24653'
1384,b'-9'
1385,b'-9'
1386,b'12635'
1387,b'02119'
1388,b'-9'
1389,b'24890'
1390,b'-9'
1391,b'-9'
1392,b'42800'
1393,b'33555'
1394,b'-9'
1395,b'27405'
1396,b'-9'
1397,b'06125'
1398,b'92105'
1399,b'92105'
1400,b'-9'
1401,b'92164'
1402,b'-9'
1403,b'09600'
1404,b'33588'
1405,b'-9'
1406,b'99074'
1407,b'09600'
1408,b'98109'
1409,b'33555'
1410,b'-9'
1411,b'11540'
1412,b'12046'
1413,b'12028'
1414,b'96007'
1415,b'97157'
1416,b'95133'
1417,b'93193'
1418,b'09850'
1419,b'-9'
1420,b'-9'
1421,b'99999'
1422,b'-9'
1423,b'-9'
1424,b'-9'
1425,b'05789'
1426,b'92161'
1427,b'-9'
1428,b'-9'
1429,b'42800'
1430,b'-9'
1431,b'-9'
1432,b'-9'
1433,b'-9'
1434,b'16210'
1435,b'-9'
1436,b'61295'
1437,b'99999'
1438,b'-9'
1439,b'07642'
1440,b'14000'
1441,b'-9'
1442,b'-9'
1443,b'-9'
1444,b'-9'
1445,b'-9'
1446,b'-9'
1447,b'09600'
1448,b'-9'
1449,b'-9'
1450,b'-9'
1451,b'-9'
1452,b'-9'
1453,b'-9'
1454,b'-9'
1455,b'-9'
1456,b'-9'
1457,b'-9'
1458,b'-9'
1459,b'32905'
1460,b'13159'
1461,b'-9'
1462,b'-9'
1463,b'-9'
1464,b'-9'
1465,b'-9'
1466,b'-9'
1467,b'-9'
1468,b'-9'
1469,b'-9'
1470,b'16475'
1471,b'61295'
1472,b'03410'
1473,b'-9'
1474,b'-9'
1475,b'-9'
1476,b'-9'
1477,b'-9'
1478,b'18125'
1479,b'-9'
1480,b'-9'
1481,b'19675'
1482,b'93105'
1483,b'99999'
1484,b'-9'
1485,b'-9'
1486,b'-9'
1487,b'-9'
1488,b'61295'
1489,b'-9'
1490,b'33555'
1491,b'-9'
1492,b'-9'
1493,b'-9'
1494,b'-9'
1495,b'-9'
1496,b'06839'
1497,b'92105'
1498,b'-9'
1499,b'-9'
1500,b'-9'
1501,b'-9'
1502,b'-9'
1503,b'42800'
1504,b'-9'
1505,b'23755'
1506,b'-9'
1507,b'-9'
1508,b'-9'
1509,b'99133'
1510,b'-9'
1511,b'99999'
1512,b'-9'
1513,b'-9'
1514,b'-9'
1515,b'-9'
1516,b'-9'
1517,b'-9'
1518,b'-9'
1519,b'-9'
1520,b'19675'
1521,b'-9'
1522,b'-9'
1523,b'-9'
1524,b'92105'
1525,b'-9'
1526,b'-9'
1527,b'-9'
1528,b'-9'
1529,b'-9'
1530,b'-9'
1531,b'09562'
1532,b'-9'
1533,b'-9'
1534,b'-9'
1535,b'19070'
1536,b'24975'
1537,b'24975'
1538,b'12865'
1539,b'12490'
1540,b'04250'
1541,b'24975'
1542,b'08186'
1543,b'12865'
1544,b'12865'
1545,b'24975'
1546,b'24975'
1547,b'92111'
1548,b'04250'
1549,b'12490'
1550,b'04250'
1551,b'15395'
1552,b'04250'
1553,b'60800'
1554,b'12490'
1555,b'12865'
1556,b'12490'
1557,b'24975'
1558,b'00198'
1559,b'12865'
1560,b'12865'
1561,b'12490'
1562,b'00260'
1563,b'19675'
1564,b'04250'
1565,b'00260'
1566,b'15040'
1567,b'93090'
1568,b'97159'
1569,b'22345'
1570,b'25674'
1571,b'93352'
1572,b'25638'
1573,b'97049'
1574,b'94104'
1575,b'08836'
1576,b'04014'
1577,b'93183'
1578,b'17888'
1579,b'-9'
1580,b'94014'
1581,b'93193'
1582,b'95133'
1583,b'91079'
1584,b'93183'
1585,b'94104'
1586,b'06985'
1587,b'93193'
1588,b'91066'
1589,b'-9'
1590,b'98115'
1591,b'01038'
1592,b'94104'
1593,b'89019'
1594,b'31997'
1595,b'01029'
1596,b'99074'
1597,b'96173'
1598,b'-9'
1599,b'96007'
1600,b'94104'
1601,b'91079'
1602,b'95072'
1603,b'06980'
1604,b'94104'
1605,b'96007'
1606,b'99101'
1607,b'99101'
1608,b'97002'
1609,b'02256'
1610,b'04014'
1611,b'99101'
1612,b'93193'
1613,b'-9'
1614,b'-9'
1615,b'92161'
1616,b'-9'
1617,b'14000'
1618,b'-9'
1619,b'28495'
1620,b'28495'
1621,b'19650'
1622,b'-9'
1623,b'60775'
1624,b'06905'
1625,b'-9'
1626,b'32905'
1627,b'-9'
1628,b'-9'
1629,b'06905'
1630,b'-9'
1631,b'97045'
1632,b'18640'
1633,b'01017'
1634,b'12635'
1635,b'-9'
1636,b'16475'
1637,b'-9'
1638,b'15395'
1639,b'61160'
1640,b'-9'
1641,b'-9'
1642,b'-9'
1643,b'92111'
1644,b'28495'
1645,b'01017'
1646,b'02042'
1647,b'01034'
1648,b'08149'
1649,b'97045'
1650,b'02900'
1651,b'31670'
1652,b'-9'
1653,b'-9'
1654,b'28495'
1655,b'01017'
1656,b'61160'
1657,b'93183'
1658,b'16475'
1659,b'-9'
1660,b'-9'
1661,b'-9'
1662,b'01630'
1663,b'-9'
1664,b'89018'
